description,number_of_elements,packaging_width,packaging_height
description,2297,95,51
description,2974,82,13
description,6295,68,70
description,1998,34,13
description,3308,94,59
description,1893,17,24
description,8267,22,32
description,7768,12,43
description,1389,86,73
description,6563,52,10
description,8966,24,91
description,464,39,11
description,859,74,85
description,7203,47,43
description,595,37,42
description,9098,82,32
description,5173,43,73
description,5416,11,89
description,9762,97,68
description,9033,29,77
description,4920,83,11
description,7617,54,94
description,4517,33,44
description,4138,23,25
description,9246,88,22
description,1462,47,62
description,9683,17,80
description,714,11,90
description,8758,73,33
description,1656,18,79
description,1631,99,35
description,2479,82,81
description,5484,79,57
description,5988,51,44
description,5290,98,94
description,211,52,19
description,3157,84,52
description,3298,17,58
description,267,38,86
description,5335,61,75
description,736,10,97
description,9261,71,55
description,4564,94,66
description,2780,82,13
description,3256,78,27
description,7690,89,48
description,4516,83,60
description,2196,43,25
description,9099,78,73
description,6233,33,29
description,3306,45,60
description,195,27,38
description,9008,27,29
description,518,52,12
description,5333,12,31
description,3861,79,97
description,2513,27,16
description,5551,12,43
description,2354,61,21
description,6136,47,85
description,3771,58,23
description,9668,60,57
description,7807,90,34
description,2931,89,95
description,4158,39,15
description,556,17,54
description,6512,54,50
description,8412,89,13
description,3193,52,50
description,279,50,88
description,6478,94,75
description,2200,41,72
description,9524,13,97
description,6782,83,88
description,7362,95,74
description,2770,35,60
description,9848,29,30
description,7219,68,35
description,765,43,19
description,375,41,50
description,5965,84,14
description,9005,100,82
description,8137,29,77
description,604,84,36
description,4079,76,52
description,7562,88,68
description,6842,65,76
description,2588,40,70
description,7403,64,37
description,7962,95,66
description,6820,38,80
description,302,60,97
description,1516,99,63
description,3790,46,46
description,4812,28,90
description,6368,73,75
description,4257,50,96
description,1082,34,69
description,5330,61,34
description,9736,45,34
description,1709,58,40
description,8243,91,21
description,6153,82,98
description,7906,56,11
description,2333,60,100
description,803,64,70
description,1666,33,70
description,6052,25,19
description,3800,73,30
description,8832,64,34
description,5672,47,91
description,1205,77,13
description,2753,41,76
description,6940,21,41
description,8228,77,60
description,241,80,60
description,4331,71,23
description,7128,19,30
description,1879,45,44
description,2045,66,68
description,2524,100,79
description,9967,55,69
description,654,22,52
description,1517,15,77
description,9646,37,95
description,275,21,35
description,592,53,61
description,2433,10,14
description,725,31,72
description,1849,97,18
description,2818,81,24
description,7514,59,62
description,7126,63,88
description,7072,95,51
description,2234,80,28
description,8856,20,27
description,7104,33,77
description,3529,79,31
description,8957,16,67
description,5923,49,55
description,3210,70,98
description,5119,72,49
description,645,70,82
description,8254,30,35
description,2027,67,93
description,2069,61,21
description,2611,24,16
description,6672,59,27
description,1259,12,41
description,4337,18,96
description,3687,25,73
description,9178,83,18
description,2307,62,91
description,1133,73,21
description,4520,83,28
description,6684,23,78
description,9197,56,80
description,5649,10,86
description,2364,83,66
description,7430,91,22
description,202,63,68
description,2416,27,21
description,2979,83,54
description,1808,61,81
description,8518,36,85
description,2890,23,63
description,2921,98,40
description,4098,22,25
description,5067,85,65
description,3273,24,38
description,7982,28,56
description,6693,93,25
description,7166,100,80
description,2902,11,24
description,3861,76,32
description,4782,80,98
description,9455,22,87
description,1357,46,10
description,7446,12,73
description,6091,35,42
description,395,31,95
description,5923,50,70
description,8392,96,15
description,5228,32,33
description,9434,82,48
description,8259,54,68
description,90,14,96
description,5514,64,53
description,5885,81,34
description,8530,22,63
description,8148,99,16
description,2116,35,10
description,1393,25,87
description,8204,23,90
description,8391,42,29
description,3520,31,91
description,1157,60,73
description,7673,73,82
description,4234,80,70
description,191,76,33
description,2716,12,73
description,9463,26,35
description,1557,23,22
description,5275,58,87
description,2094,30,30
description,4580,44,51
description,9883,36,58
description,4358,46,25
description,6531,13,39
description,7733,83,86
description,6224,51,23
description,9584,75,78
description,4622,85,19
description,6819,94,89
description,2832,94,69
description,4648,20,84
description,2690,94,16
description,3186,12,32
description,448,86,72
description,1031,65,53
description,2715,31,83
description,255,48,60
description,9921,15,56
description,5724,14,70
description,5471,61,80
description,9376,46,28
description,6365,44,36
description,4627,94,31
description,9251,83,53
description,2243,58,32
description,5499,89,23
description,7124,93,16
description,9049,35,16
description,1284,61,31
description,4691,18,58
description,2311,28,11
description,9822,64,79
description,9492,28,97
description,5669,87,91
description,4008,83,72
description,4739,69,18
description,2224,25,98
description,2660,37,42
description,6466,41,60
description,4266,12,64
description,6419,28,39
description,672,15,85
description,1223,84,24
description,4372,37,30
description,3846,36,15
description,6787,75,32
description,146,55,47
description,9664,60,98
description,9122,70,71
description,4019,11,12
description,4117,42,11
description,2968,58,78
description,3995,27,45
description,2414,20,89
description,5651,87,60
description,8973,72,34
description,9195,44,53
description,5661,47,62
description,2739,89,92
description,3948,87,72
description,5651,10,22
description,7272,98,69
description,8880,53,25
description,2009,79,36
description,4974,34,71
description,7905,45,81
description,7805,42,62
description,6802,54,22
description,7786,48,44
description,6864,70,59
description,3279,66,84
description,9093,14,99
description,8159,16,34
description,7551,90,75
description,5713,84,87
description,2488,39,26
description,469,50,11
description,8877,49,45
description,1328,10,19
description,4027,74,72
description,1896,80,89
description,2505,78,94
description,3782,71,56
description,1354,95,83
description,5112,66,72
description,7523,65,52
description,6068,42,92
description,8046,69,91
description,6968,98,100
description,891,35,26
description,1799,89,31
description,2637,69,64
description,4300,27,86
description,7612,70,39
description,2861,62,66
description,9533,89,31
description,2907,81,80
description,202,57,48
description,3276,71,63
description,3677,33,30
description,5494,59,31
description,9697,11,61
description,6024,58,83
description,4770,44,81
description,1955,60,13
description,1582,25,23
description,495,22,39
description,1609,60,24
description,4527,19,86
description,8545,53,69
description,4383,69,23
description,3011,21,65
description,3655,67,36
description,360,80,36
description,6626,96,72
description,5905,54,58
description,9998,19,46
description,9911,98,17
description,7051,19,59
description,4534,64,90
description,4442,55,37
description,6636,11,44
description,6612,38,38
description,6798,48,50
description,3447,78,64
description,7560,98,88
description,9522,40,11
description,8171,84,38
description,5476,59,62
description,8127,47,45
description,8076,82,61
description,7798,12,96
description,1315,61,68
description,7578,57,66
description,5419,52,66
description,1209,66,75
description,1186,91,25
description,3695,67,94
description,639,82,24
description,5152,59,50
description,5198,25,33
description,7945,28,48
description,2669,62,42
description,5191,37,90
description,8244,11,57
description,2282,44,34
description,7695,36,83
description,382,52,83
description,1567,67,98
description,6275,64,43
description,776,39,13
description,6668,86,55
description,6615,27,34
description,7959,37,31
description,5921,61,64
description,9303,33,22
description,2140,30,18
description,5584,62,22
description,5326,17,92
description,5458,81,99
description,1470,60,26
description,3424,68,52
description,7074,97,32
description,4513,67,57
description,1062,63,47
description,5120,74,83
description,535,12,22
description,9533,91,29
description,4752,25,47
description,1766,93,10
description,873,57,99
description,8667,64,12
description,3731,36,83
description,1845,85,83
description,4038,95,84
description,6550,76,52
description,4241,60,16
description,3497,53,14
description,1875,77,92
description,7003,72,64
description,6503,59,75
description,3970,34,40
description,1058,57,34
description,9620,47,82
description,7235,43,16
description,6379,92,67
description,1014,36,44
description,4373,44,13
description,6000,45,67
description,6165,25,61
description,6383,10,50
description,7021,26,17
description,7410,47,76
description,407,31,70
description,8303,39,47
description,3124,62,63
description,7638,40,22
description,779,54,42
description,4412,84,71
description,3122,77,78
description,3950,79,23
description,3564,91,74
description,9374,54,83
description,3170,48,41
description,2219,78,31
description,8704,39,80
description,6457,94,22
description,2777,93,11
description,9928,66,55
description,648,96,67
description,8619,58,78
description,7209,85,35
description,6994,53,74
description,2080,27,25
description,4419,98,20
description,3459,11,51
description,4632,76,66
description,1548,68,60
description,2939,20,36
description,5784,64,61
description,8727,58,28
description,2266,26,83
description,2749,73,56
description,300,38,94
description,1786,92,37
description,314,34,90
description,6993,86,91
description,9526,59,32
description,4616,68,43
description,4845,26,26
description,5466,42,35
description,4070,47,76
description,357,53,25
description,7407,51,44
description,7016,18,90
description,4311,43,93
description,7455,40,58
description,8143,12,59
description,2592,89,62
description,8127,19,48
description,1791,94,88
description,4267,84,40
description,655,86,88
description,2283,46,62
description,9889,94,25
description,9859,15,35
description,7814,34,73
description,4586,75,79
description,3777,19,43
description,2889,87,52
description,5004,24,85
description,2860,15,56
description,5757,57,40
description,6485,44,22
description,4327,70,76
description,4593,91,98
description,6277,16,20
description,6439,22,98
description,6878,19,18
description,118,79,26
description,607,91,62
description,8306,41,55
description,8178,14,87
description,679,40,40
description,8519,45,93
description,8249,72,39
description,1489,37,82
description,8334,89,65
description,936,27,74
description,3369,33,60
description,9102,67,41
description,8038,73,55
description,9092,95,63
description,9932,45,69
description,1680,27,31
description,6370,50,33
description,8669,10,95
description,5580,27,35
description,4180,57,78
description,1480,93,96
description,9746,44,95
description,5516,23,33
description,1311,48,66
description,439,76,98
description,959,31,86
description,6178,31,59
description,9295,24,29
description,8618,22,39
description,4885,77,38
description,8765,37,70
description,5179,71,64
description,3101,26,23
description,7647,96,69
description,3601,57,87
description,5622,86,21
description,3199,32,68
description,4013,62,95
description,5885,47,56
description,8333,76,14
description,9090,95,11
description,5363,12,40
description,102,94,50
description,8012,13,92
description,2102,13,87
description,5530,90,100
description,4962,60,71
description,8126,60,88
description,9535,20,100
description,4235,62,32
description,1211,36,64
description,9013,88,74
description,3182,46,64
description,838,98,58
description,4464,74,38
description,4314,97,88
description,2467,21,28
description,8173,17,22
description,8385,72,12
description,8374,55,21
description,386,33,80
description,3337,27,68
description,270,34,16
description,5251,87,80
description,1438,90,77
description,798,62,78
description,1040,72,31
description,3476,90,60
description,8077,84,74
description,6976,76,90
description,9546,89,85
description,182,78,62
description,3311,31,73
description,0,97,84
description,9991,17,76
description,7367,30,47
description,9052,13,19
description,3847,82,33
description,7396,10,29
description,4966,80,13
description,216,41,69
description,5596,94,18
description,6039,14,63
description,8312,98,19
description,4057,24,71
description,3987,61,77
description,1820,39,80
description,828,88,88
description,6482,14,85
description,8411,98,82
description,3506,96,14
description,2806,36,20
description,2466,20,87
description,938,100,19
description,6992,24,36
description,9747,70,53
description,6876,43,67
description,9987,36,25
description,8488,97,11
description,9554,14,66
description,7068,66,64
description,4864,25,82
description,7590,95,52
description,2045,69,73
description,2167,89,29
description,1364,100,30
description,968,77,59
description,5341,25,38
description,5007,75,45
description,3678,65,19
description,9936,48,40
description,315,70,83
description,4011,70,79
description,1005,34,42
description,4225,31,38
description,8479,46,42
description,7130,56,64
description,7500,18,79
description,2126,44,60
description,2287,56,15
description,1581,60,79
description,6010,20,98
description,8503,78,51
description,7847,26,23
description,1440,40,81
description,9630,95,13
description,4766,36,42
description,812,23,97
description,7070,68,28
description,7345,87,90
description,3888,23,59
description,6022,68,34
description,1824,44,56
description,5287,14,52
description,9359,79,22
description,8085,67,99
description,6264,95,58
description,3078,87,16
description,7615,41,46
description,3890,97,27
description,378,10,69
description,9526,16,61
description,1233,68,83
description,7009,66,51
description,1714,85,39
description,2866,45,25
description,4652,26,70
description,3214,98,18
description,966,17,47
description,9989,45,36
description,9353,20,25
description,9205,94,48
description,7676,26,84
description,2824,95,50
description,8851,45,26
description,2425,76,45
description,6302,75,32
description,567,81,89
description,533,63,92
description,3056,29,72
description,8738,89,25
description,8457,19,61
description,3304,91,92
description,8519,27,35
description,3726,56,32
description,5250,41,55
description,9058,28,17
description,6663,98,30
description,6257,29,71
description,7141,53,39
description,3818,40,68
description,5534,44,62
description,6788,89,37
description,9966,58,25
description,6720,45,45
description,8764,94,14
description,4382,13,38
description,5679,79,72
description,1931,48,79
description,9345,26,86
description,6068,47,31
description,5793,89,40
description,3376,96,85
description,2653,57,59
description,7660,71,25
description,8417,35,21
description,4920,32,89
description,7187,81,54
description,8231,72,72
description,6474,17,30
description,8108,35,43
description,6550,82,46
description,6293,23,13
description,5058,61,19
description,4244,57,57
description,8906,66,43
description,4713,29,97
description,9877,41,70
description,5366,49,53
description,5771,10,61
description,8564,85,80
description,8393,17,56
description,6115,22,83
description,5334,20,89
description,5529,15,56
description,445,42,22
description,1476,93,62
description,9490,72,37
description,3624,30,18
description,8265,86,60
description,4720,81,83
description,3789,91,48
description,5070,50,73
description,4340,93,44
description,1142,50,16
description,7213,54,32
description,6344,88,33
description,1837,95,31
description,9927,21,39
description,7247,40,28
description,6783,84,70
description,5661,29,31
description,6105,17,89
description,1757,84,60
description,817,61,64
description,3574,92,66
description,1570,94,30
description,3980,97,18
description,8964,73,40
description,6405,60,80
description,6629,86,62
description,9256,94,74
description,5163,65,14
description,7172,20,34
description,3481,79,56
description,5848,99,66
description,4820,13,50
description,9719,99,52
description,4633,38,64
description,7676,17,91
description,8569,49,20
description,3780,17,33
description,7003,73,69
description,8364,58,18
description,7638,37,59
description,4039,47,81
description,3294,84,37
description,4873,87,68
description,4088,87,93
description,5488,29,13
description,1653,99,70
description,8498,18,77
description,9054,97,38
description,3117,100,29
description,8439,77,11
description,8212,17,49
description,5839,11,12
description,2940,74,62
description,7125,70,15
description,2432,36,31
description,2701,23,43
description,6589,30,15
description,3393,71,44
description,9078,51,60
description,1838,27,84
description,3551,56,82
description,6212,71,67
description,6589,38,53
description,6202,60,76
description,1193,32,62
description,4747,55,96
description,7301,67,78
description,9830,35,32
description,834,10,72
description,2986,86,88
description,2271,13,77
description,8134,86,47
description,6465,23,69
description,7739,52,13
description,9999,86,30
description,8774,54,62
description,5856,31,46
description,3673,20,18
description,8999,65,82
description,2426,29,25
description,6297,69,95
description,2553,83,17
description,7328,42,28
description,4257,17,12
description,3745,37,61
description,9072,31,32
description,3984,13,29
description,7040,68,16
description,8761,67,68
description,3478,100,65
description,7640,77,33
description,7441,30,72
description,7831,93,94
description,9246,34,32
description,8586,34,12
description,1733,82,55
description,9329,77,16
description,9755,25,53
description,9883,19,23
description,5289,99,48
description,764,51,24
description,6989,15,19
description,1410,67,23
description,7943,14,39
description,2830,47,11
description,1294,71,37
description,9731,31,53
description,2164,44,37
description,9833,11,85
description,3004,21,47
description,4046,88,71
description,3867,41,10
description,3973,44,70
description,6887,28,83
description,3094,86,54
description,4910,70,84
description,9228,18,40
description,6973,90,40
description,3527,44,13
description,1394,85,54
description,9479,99,95
description,5776,19,66
description,3606,58,21
description,3345,86,34
description,7190,55,20
description,773,54,52
description,1954,71,88
description,3759,80,94
description,2833,89,59
description,4572,14,31
description,2385,99,15
description,8938,66,43
description,4245,90,18
description,7806,56,78
description,7617,86,84
description,5769,80,60
description,3859,89,30
description,5679,97,99
description,5227,51,79
description,8657,92,79
description,8708,94,90
description,2360,50,92
description,535,29,81
description,3304,79,30
description,1124,13,51
description,1118,24,32
description,6604,64,47
description,4894,92,21
description,1068,82,60
description,7063,43,60
description,8432,52,86
description,4982,72,32
description,1718,26,30
description,7417,46,57
description,4567,90,82
description,2415,76,83
description,5127,43,44
description,357,38,57
description,784,60,13
description,5196,34,23
description,8586,44,57
description,467,85,10
description,7131,97,70
description,7558,57,30
description,442,32,19
description,562,87,16
description,2014,83,87
description,4222,22,44
description,1383,96,63
description,2122,83,98
description,3368,49,37
description,2389,85,44
description,2282,27,43
description,5581,78,42
description,7945,89,78
description,4084,13,73
description,8822,44,29
description,8673,76,33
description,5502,42,43
description,8141,40,11
description,4175,93,37
description,7341,71,23
description,6761,100,29
description,9251,28,45
description,3350,42,78
description,1994,14,39
description,6587,84,88
description,8118,61,99
description,9852,71,30
description,8377,73,74
description,7361,96,22
description,734,40,37
description,6839,33,68
description,717,27,69
description,6833,32,45
description,2505,30,73
description,8864,89,11
description,553,52,38
description,2202,80,72
description,5788,57,87
description,4182,44,34
description,5139,20,35
description,5093,35,80
description,6221,94,63
description,5588,73,17
description,84,42,37
description,583,29,56
description,8448,46,76
description,5589,47,22
description,9761,74,73
description,4520,56,43
description,5624,77,30
description,7990,41,67
description,3574,73,70
description,2977,20,55
description,4383,99,55
description,2918,48,84
description,6233,56,42
description,2057,49,27
description,5308,99,39
description,2020,95,45
description,7674,25,14
description,2706,11,70
description,6977,36,75
description,6224,24,64
description,1058,73,100
description,6350,99,51
description,8916,36,82
description,4756,79,93
description,1797,57,18
description,3993,62,86
description,2324,25,83
description,9790,54,21
description,304,18,94
description,3801,20,72
description,1242,79,60
description,2272,52,29
description,6745,85,52
description,8428,81,40
description,2265,46,62
description,2316,52,32
description,2017,65,93
description,3395,73,40
description,3716,46,60
description,2693,80,78
description,6090,90,64
description,4446,74,33
description,9846,30,40
description,9358,59,53
description,754,58,90
description,8324,45,33
description,6972,77,99
description,4532,21,88
description,615,28,78
description,1750,83,99
description,1677,51,46
description,8108,76,17
description,792,35,52
description,4803,32,34
description,8973,27,11
description,164,45,53
description,2212,39,45
description,2729,56,59
description,2218,45,26
description,5865,69,77
description,3831,85,57
description,8995,55,53
description,878,76,59
description,542,83,62
description,2169,28,76
description,5305,92,81
description,7290,90,52
description,1415,62,100
description,8831,90,52
description,7721,59,63
description,8181,81,88
description,330,38,70
description,7505,65,75
description,2217,67,48
description,54,56,77
description,9843,11,35
description,9672,33,45
description,8915,71,23
description,6349,75,97
description,87,45,44
description,8309,54,94
description,3335,46,86
description,3847,32,100
description,6309,13,71
description,8272,94,24
description,343,98,90
description,2123,48,51
description,9452,20,14
description,3776,73,44
description,6984,11,53
description,7423,15,43
description,2006,12,22
description,4395,21,13
description,1231,94,28
description,6497,55,99
description,3682,16,95
description,5466,80,89
description,2710,24,55
description,5344,24,32
description,3106,50,91
description,9227,57,49
description,2474,74,16
description,3314,50,37
description,96,69,29
description,2058,46,27
description,1292,56,76
description,9412,34,18
description,1213,88,83
description,2114,97,40
description,4402,11,78
description,7687,93,41
description,5874,46,94
description,7930,46,85
description,6745,85,34
description,8066,24,18
description,4433,22,11
description,3300,43,52
description,6797,72,79
description,7104,97,19
description,9625,66,41
description,9325,43,22
description,4237,74,10
description,1690,75,88
description,4224,87,58
description,4587,95,81
description,7092,70,26
